,Property Address,City,Zip Code,Agent,For Sale,Price,Beds,Baths,Half Baths,Sq Ft,County
0,110/112 San Antonio AVE,San Bruno,94066,Better Homes and Gardens Real Estate J.F. Finnegan,FOR SALE,1299999,3,3,0,"1,490",san-mateo-county
1,1084 Park Pacifica Avenue,Pacifica,94044,Keller Williams East County,FOR SALE,1228000,3,2,0,"1,080",san-mateo-county
2,2107 Shoreview Ave,San Mateo,94401,REALTY EXPERTS,FOR SALE,289000,2,2,0,992,san-mateo-county
3,3015 E. Bayshore Rd. #439,Redwood City,94063,Alliance Manufactured Homes,FOR SALE,949950,2,2,0,"1,213",san-mateo-county
4,800 Sea Spray Lane Unit 212,Foster City,94404,None,FOR SALE,3198000,5,5,1,"3,918",san-mateo-county
5,464 Upland Road,Redwood City,94062,Coldwell Banker Burlingame,FOR SALE,749000,2,1,0,858,san-mateo-county
6,3879 Radburn Dr.,South San Francisco,94080,Keller Williams Realty Danville,FOR SALE,1700000,5,2,1,"2,798",san-mateo-county
7,3467 Michael Dr,Redwood City,94063,Cal Funding,FOR SALE,3500000,4,2,1,"2,430",san-mateo-county
9,0 0 Edgemar,Daly City,94014,Better Homes and Gardens Real Estate J.F. Finnegan,FOR SALE,1775000,3,2,1,"1,991",san-mateo-county
10,27 Hobart AVE,San Mateo,94402,Better Homes and Gardens Real Estate J.F. Finnegan,FOR SALE,1198888,3,2,0,"1,365",san-mateo-county
11,1671 Sweetwood Drive,Daly City,94015,Better Homes and Gardens Real Estate J.F. Finnegan,FOR SALE,1599000,3,2,0,"1,950",san-mateo-county
12,23 Thomas Ct,San Mateo,94401,Paramount Building &amp; Loans,FOR SALE,1595000,3,2,0,"1,170",san-mateo-county
13,461 Lincoln Avenue,Redwood City,94061,Better Homes and Gardens Real Estate J.F. Finnegan,FOR SALE,2075000,4,2,1,"2,460",san-mateo-county
14,116 Grand Blvd.,San Mateo,94401,Coldwell Banker Burlingame,FOR SALE,1199000,5,2,0,"1,683",san-mateo-county
15,63 Longview Drive,Daly City,94015,Coldwell Banker San Francisco Sunset,FOR SALE,1450000,2,2,0,"1,997",san-mateo-county
17,1000 North Point St #704,San Francisco,94019,Coldwell Banker San Francisco Pacific Heights,FOR SALE,2500000,4,2,0,"1,700",san-mateo-county
18,1547 Tarrytown St,San Mateo,94402,Coldwell Banker Burlingame,FOR SALE,1360000,2,2,1,"1,793",san-mateo-county
19,650 Alamo Court #9,Mountain View,94043,None,FOR SALE,330000,3,2,0,"1,344",santa-clara-county
20,6130 Monterey Highway #34,San Jose,95138,None,FOR SALE,699900,2,2,0,"1,163",santa-clara-county
21,2262 Almaden Road B,San Jose,95125,Coldwell Banker Palo Alto Downtown,FOR SALE,850000,2,3,0,"1,051",santa-clara-county
